y,ds,unique_id
5.0,2019-11-07,H88
11.0,2019-11-08,H88
3.0,2019-11-11,H88
12.0,2019-11-12,H88
11.0,2019-11-13,H88
10.0,2019-11-14,H88
9.0,2019-11-15,H88
10.0,2019-11-18,H88
3.0,2019-11-19,H88
11.0,2019-11-20,H88
4.0,2019-11-21,H88
16.0,2019-11-22,H88
14.0,2019-11-25,H88
12.0,2019-11-26,H88
5.0,2019-11-27,H88
2.0,2019-11-28,H88
7.0,2019-11-29,H88
3.0,2019-12-02,H88
9.0,2019-12-03,H88
5.0,2019-12-04,H88
6.0,2019-12-05,H88
17.0,2019-12-06,H88
5.0,2019-12-09,H88
13.0,2019-12-10,H88
4.0,2019-12-11,H88
17.0,2019-12-12,H88
18.0,2019-12-13,H88
19.0,2019-12-16,H88
8.0,2019-12-17,H88
17.0,2019-12-18,H88
8.0,2019-12-19,H88
11.0,2019-12-20,H88
4.0,2019-12-23,H88
11.0,2019-12-24,H88
5.0,2019-12-25,H88
9.0,2019-12-26,H88
18.0,2019-12-27,H88
14.0,2019-12-30,H88
5.0,2019-12-31,H88
9.0,2020-01-02,H43
16.0,2020-01-03,H43
7.0,2020-01-04,H43
26.0,2020-01-06,H43
13.0,2020-01-07,H43
8.0,2020-01-08,H43
14.0,2020-01-09,H43
10.0,2020-01-10,H43
7.0,2020-01-11,H43
34.0,2020-01-13,H43
14.0,2020-01-14,H43
10.0,2020-01-15,H43
15.0,2020-01-16,H43
17.0,2020-01-17,H43
7.0,2020-01-18,H43
29.0,2020-01-20,H43
10.0,2020-01-21,H43
2.0,2020-01-22,H43
10.0,2020-01-30,H43
6.0,2020-01-31,H43
5.0,2020-02-01,H43
10.0,2020-02-03,H43
7.0,2020-02-04,H43
8.0,2020-02-05,H43
9.0,2020-02-06,H43
16.0,2020-02-07,H43
4.0,2020-02-08,H43
36.0,2020-02-10,H43
12.0,2020-02-11,H43
7.0,2020-02-12,H43
11.0,2020-02-13,H43
24.0,2020-02-14,H43
28.0,2020-02-17,H43
4.0,2020-02-18,H43
8.0,2020-02-19,H43
21.0,2020-02-20,H43
7.0,2020-02-21,H43
4.0,2020-02-22,H43
23.0,2020-02-24,H43
4.0,2020-02-25,H43
5.0,2020-02-26,H43
7.0,2020-02-27,H43
5.0,2020-02-28,H43
6.0,2020-02-29,H43
26.0,2020-03-02,H43
9.0,2020-03-03,H43
4.0,2020-03-04,H43
12.0,2020-03-05,H43
15.0,2020-03-06,H43
1.0,2020-03-07,H43
19.0,2020-03-09,H43
5.0,2020-03-10,H43
10.0,2020-03-11,H43
12.0,2020-03-12,H43
13.0,2020-03-13,H43
6.0,2020-03-14,H43
35.0,2020-03-16,H43
6.0,2020-03-17,H43
5.0,2020-03-18,H43
5.0,2020-03-19,H43
8.0,2020-03-20,H43
5.0,2020-03-21,H43
36.0,2020-03-23,H43
7.0,2020-03-24,H43
3.0,2020-03-25,H43
5.0,2020-03-26,H43
5.0,2020-03-27,H43
27.0,2020-03-30,H43
11.0,2020-03-31,H43
17.0,2020-04-01,H43
6.0,2020-04-03,H43
4.0,2020-04-04,H43
13.0,2020-04-06,H43
11.0,2020-04-07,H43
6.0,2020-04-08,H43
16.0,2020-04-09,H43
9.0,2020-04-10,H43
16.0,2020-04-13,H43
8.0,2020-04-14,H43
7.0,2020-04-15,H43
12.0,2020-04-16,H43
3.0,2020-04-17,H43
1.0,2020-04-18,H43
12.0,2020-04-20,H43
9.0,2020-04-21,H43
12.0,2020-04-22,H43
3.0,2020-04-23,H43
5.0,2020-04-24,H43
6.0,2020-04-25,H43
22.0,2020-04-27,H43
10.0,2020-04-28,H43
4.0,2020-04-29,H43
36.0,2020-05-04,H43
5.0,2020-05-05,H43
6.0,2020-05-06,H43
13.0,2020-05-07,H43
13.0,2020-05-08,H43
2.0,2020-05-09,H43
29.0,2020-05-11,H43
9.0,2020-05-12,H43
13.0,2020-05-13,H43
6.0,2020-05-14,H43
13.0,2020-05-15,H43
6.0,2020-05-16,H43
29.0,2020-05-18,H43
14.0,2020-05-19,H43
10.0,2020-05-20,H43
4.0,2020-05-21,H43
11.0,2020-05-22,H43
3.0,2020-05-23,H43
43.0,2020-05-25,H43
6.0,2020-05-26,H43
8.0,2020-05-27,H43
11.0,2020-05-28,H43
6.0,2020-05-29,H43
2.0,2020-05-30,H43
20.0,2020-06-01,H43
7.0,2020-06-02,H43
7.0,2020-06-03,H43
13.0,2020-06-04,H43
16.0,2020-06-05,H43
4.0,2020-06-06,H43
30.0,2020-06-08,H43
9.0,2020-06-09,H43
17.0,2020-06-10,H43
15.0,2020-06-11,H43
7.0,2020-06-12,H43
5.0,2020-06-13,H43
11.0,2020-06-15,H43
8.0,2020-06-16,H43
20.0,2020-06-17,H43
18.0,2020-06-18,H43
8.0,2020-06-19,H43
3.0,2020-06-20,H43
16.0,2020-06-22,H43
7.0,2020-06-23,H43
8.0,2020-06-24,H43
14.0,2020-06-25,H43
13.0,2020-06-26,H43
1.0,2020-06-27,H43
10.0,2020-06-29,H43
16.0,2020-06-30,H43
11.0,2020-07-01,H43
6.0,2020-07-02,H43
